station,n_departures,avg_daily_departures,n_arrivals,avg_daily_arrivals,departure_arrival_ratio,n_destinations,n_origins,mean_duration,median_duration,std_duration,weekend_ratio,morning_rush_ratio,evening_rush_ratio,night_ratio
10632,4058,11.209944751381215,4031,11.197222222222223,1.0066980898040188,452,439,1245723.4507146378,880538.5,4237998.93758828,0.17496303597831445,0.1264169541646131,0.24519467718087729,0.014539181862986693
22169,11770,32.33516483516483,11779,32.35989010989011,0.9992359283470583,615,618,905153.1382327953,542541.0,10419133.207179504,0.23237043330501275,0.22387425658453697,0.2239592183517417,0.026423109600679694
200053,3280,9.11111111111111,3097,8.53168044077135,1.0590894413948984,466,426,2110211.1542682927,925209.5,40009964.4379744,0.21371951219512195,0.2173780487804878,0.2838414634146341,0.03170731707317073
300048,7946,22.383098591549295,7796,21.89887640449438,1.0192406362237045,374,409,1045338.4855273094,742999.5,5700717.540433621,0.2615152277875661,0.40812987666750566,0.1580669519254971,0.017870626730430404
22175,6259,17.195054945054945,6160,16.876712328767123,1.0160714285714285,393,406,1598039.1342067423,889888.0,21287641.192801017,0.281195079086116,0.27576290142195237,0.1503435053522927,0.044735580763700274
10629,7915,21.744505494505493,7961,21.87087912087912,0.9942218314282125,502,562,1865666.0104864181,994994.0,19099507.118476726,0.30120025268477574,0.38458622867972203,0.15540113708149084,0.020846493998736577
200187,2178,6.016574585635359,2647,7.332409972299169,0.8228182848507745,374,381,2047870.1740128559,1109989.0,24985511.733361848,0.3071625344352617,0.3273645546372819,0.1414141414141414,0.015151515151515152
1078,7884,21.65934065934066,7890,21.675824175824175,0.9992395437262357,561,565,959336.7714358193,606130.5,7927284.960293658,0.20192795535261288,0.20294266869609334,0.20865043125317098,0.02828513444951801
200184,9890,27.17032967032967,10001,27.475274725274726,0.9889011098890111,520,545,1186508.7442871588,643147.5,12857161.114356913,0.26097067745197167,0.1942366026289181,0.24216380182002023,0.024772497472194135
200190,12791,35.14010989010989,13490,36.95890410958904,0.9481838398813937,643,636,1792890.3403955908,866959.0,44750895.69390057,0.28363693221796576,0.2758189351888046,0.19771714486748496,0.011179735751700415
200181,8273,22.728021978021978,8295,22.78846153846154,0.9973477998794454,483,506,1427716.2593980418,779094.0,33531025.644350763,0.24984890608001933,0.36564728635319715,0.155445424876103,0.012933639550344494
22163,16155,44.38186813186813,16834,46.247252747252745,0.9596649637638114,700,692,1577908.6214794181,728757.0,44297694.68103076,0.18662952646239556,0.1968430826369545,0.2733519034354689,0.03225007737542557
1206,14393,39.54120879120879,14456,39.714285714285715,0.9956419479800774,685,655,1545608.8274855833,968149.0,15129381.678401496,0.25699993052178144,0.10720489126658793,0.31918293614951715,0.01438199124574446
22160,7411,20.35989010989011,7441,20.442307692307693,0.9959682838328182,629,637,1471254.0723249223,810874.0,20314615.372903615,0.34921063284307113,0.15962758062339766,0.23114289569558763,0.030630144379975712
1188,5942,16.36914600550964,5324,14.707182320441989,1.1160781367392938,529,527,1729086.561427129,1177802.5,13116958.799146574,0.32514304947829015,0.20447660720296196,0.20615954224166946,0.04796364860316392
3427,14719,40.43681318681319,12665,34.793956043956044,1.1621792341097512,631,622,1684300.5553366398,669381.0,43808455.9960286,0.22494734696650587,0.31510292818805624,0.19919831510292818,0.03104830491201848
300063,14315,39.32692307692308,14307,39.1972602739726,1.0005591668414062,678,707,3396274.266294097,1060855.0,85269046.74569555,0.29898707649318895,0.3016416346489696,0.17520083828152289,0.034788683199441145
1182,17925,49.51657458563536,15965,44.10220994475138,1.122768556216724,670,652,1277298.9237377965,647018.0,12589306.515607024,0.2681171548117155,0.16200836820083683,0.21690376569037656,0.03715481171548117
300069,11232,30.857142857142858,10123,27.810439560439562,1.1095525041983603,569,537,1848381.077457265,705764.5,82751537.14545108,0.26308760683760685,0.3191773504273504,0.17556980056980057,0.029113247863247864
200044,12311,34.00828729281768,9591,26.3489010989011,1.2835992075904494,709,660,973252.2734952482,697688.0,7077124.184670749,0.07432377548533832,0.057428316140037364,0.4867191942165543,0.007391763463569166
