station_number,latitude,longitude,station_name
995,51.514499,-0.141423,"Little Argyll Street, West End"
998,51.49288,-0.114934,"Lollard Street, Vauxhall"
3457,51.495827,-0.135478,"Rochester Row, Westminster"
964,51.525893,-0.090847,"Bath Street, St. Luke's"
1044,51.515735,-0.09308,"The Guildhall, Guildhall"
1086,51.518913,-0.156166,"Baker Street, Marylebone"
992,51.52836,-0.104724,"St. John Street, Finsbury"
1069,51.496544,-0.150905,"Eaton Square, Belgravia"
996,51.500694,-0.094524,"Borough High Street, The Borough"
1043,51.517821,-0.096496,"Museum of London, Barbican"
1063,51.517008,-0.093885,"Wood Street, Guildhall"
1116,51.495362,-0.185296,"Emperor's Gate, South Kensington"
3451,51.511897,-0.137043,"Golden Square, Soho"
1071,51.509506,-0.075459,"Tower Gardens , Tower"
1005,51.533005,-0.136792,"Eversholt Street , Camden Town"
973,51.523648,-0.074754,"Bethnal Green Road, Shoreditch"
3436,51.501364,-0.191462,"Derry Street, Kensington"
1039,51.504904,-0.06797,"Wapping High Street, Wapping"
1053,51.52326,-0.104708,"Clerkenwell Green, Clerkenwell"
1048,51.511961,-0.097441,"Queen Victoria Street, St. Paul's"
3464,51.512276,-0.157436,"Green Street, Mayfair"
1078,51.494881,-0.117974,"Lambeth Road, Vauxhall"
1056,51.520962,-0.085634,"Finsbury Square , Moorgate"
1003,51.515308,-0.147203,"Chapel Place, Marylebone"
1001,51.493724,-0.198286,"West Cromwell Road, Earl's Court"
1114,51.496886,-0.161203,"Pont Street, Knightsbridge"
1093,51.48894,-0.111435,"Kennington Cross, Kennington"
1115,51.500743,-0.202759,"Ilchester Place, Kensington"
1046,51.488365,-0.129361,"Vauxhall Bridge , Pimlico"
3456,51.514943,-0.116146,"Portugal Street, Holborn"
965,51.492111,-0.138364,"Tachbrook Street, Victoria"
1073,51.484788,-0.110683,"Kennington Road Post Office, Oval"
1002,51.497056,-0.168917,"Holy Trinity Brompton, Knightsbridge"
1120,51.512136,-0.201554,"Chepstow Villas, Notting Hill"
1118,51.49217,-0.101536,"Hampton Street, Walworth"
1096,51.511933,-0.174411,"Bayswater Road, Hyde Park"
1072,51.503791,-0.112824,"Waterloo Station 3, Waterloo"
1121,51.495866,-0.191933,"Lexham Gardens, Kensington"
966,51.494436,-0.092921,"New Kent Road, The Borough"
1094,51.500397,-0.193068,"Wright's Lane, Kensington"
1113,51.490853,-0.19617,"Trebovir Road, Earl's Court"
3458,51.506633,-0.131773,"Waterloo Place, St. James's"
1123,51.517606,-0.121328,"Southampton Place, Holborn"
3461,51.493184,-0.167894,"Sloane Avenue, Knightsbridge"
1178,51.515607,-0.183118,"Cleveland Gardens, Bayswater"
2585,51.517932,-0.183716,"Orsett Terrace, Bayswater"
1177,51.501855,-0.159237,"Seville Street, Knightsbridge"
3465,51.49395,-0.147624,"Eccleston Place, Victoria"
3463,51.500401,-0.195455,"Argyll Road, Kensington"
3477,51.514746,-0.165164,"Porchester Place, Paddington"
1057,51.527842,-0.108068,"Hardwick Street, Clerkenwell"
3459,51.491615,-0.186753,"Collingham Gardens, Earl's Court"
1124,51.491211,-0.173715,"Sumner Place, South Kensington"
1176,51.50486,-0.113001,"Waterloo Road, South Bank"
997,51.521668,-0.079608,"Worship Street, Shoreditch"
1173,51.517919,-0.188098,"Gloucester Terrace, Bayswater"
1122,51.49616,-0.140947,"Ashley Place, Victoria"
3460,51.489856,-0.141923,"Warwick Square, Pimlico"
1126,51.512911,-0.153645,"North Audley Street, Mayfair"
3473,51.499412,-0.152317,"Belgrave Square, Belgravia"
1166,51.522029,-0.165842,"Bell Street , Marylebone"
1165,51.482362,-0.136123,"Riverlight North, Nine Elms"
1164,51.520715,-0.145211,"Portland Place, Marylebone"
1174,51.488057,-0.140741,"Alderney Street, Pimlico"
1167,51.517335,-0.17581,"South Wharf Road, Paddington"
1172,51.492479,-0.178433,"Queen's Gate (South), South Kensington"
1112,51.516517,-0.164393,"Nutford Place, Marylebone"
1104,51.531666,-0.109914,"Claremont Square, Angel"
1106,51.489975,-0.132845,"Rampayne Street, Pimlico"
1075,51.503117,-0.15352,"Hyde Park Corner, Hyde Park"
1163,51.512515,-0.133201,"Wardour Street, Soho"
963,51.505817,-0.100186,"Bankside Mix, Bankside"
960,51.504627,-0.091773,"Hop Exchange, The Borough"
959,51.507244,-0.106237,"Milroy Walk, South Bank"
961,51.503688,-0.098497,"Union Street, The Borough"
962,51.505569,-0.111606,"Stamford Street, South Bank"
1080,51.510484,-0.082989,"Great Tower Street, Monument"
1105,51.514924,-0.066078,"LMU Commercial Road, Whitechapel"
1162,51.522596,-0.161113,"Dorset Square, Marylebone"
1102,51.512363,-0.069542,"Leman Street, Aldgate"
1040,51.518218,-0.100791,"West Smithfield Rotunda, Farringdon"
3468,51.526599,-0.112432,"Margery Street, Clerkenwell"
1171,51.518154,-0.062697,"New Road 1 , Whitechapel"
1169,51.501352,-0.153194,"Grosvenor Crescent, Belgravia"
1175,51.525051,-0.166304,"Mallory Street, Marylebone"
3454,51.493583,-0.165101,"Denyer Street, Knightsbridge"
3476,51.516814,-0.151926,"Hinde Street, Marylebone"
3469,51.494645,-0.158105,"Cadogan Place, Knightsbridge"
3487,51.506584,-0.199004,"Campden Hill Road, Notting Hill"
1109,51.50274,-0.149569,"Wellington Arch, Hyde Park"
1079,51.526838,-0.130504,"Endsleigh Gardens, Euston"
1092,51.519069,-0.088285,"Moorfields, Moorgate"
3479,51.490945,-0.18119,"Old Brompton Road, South Kensington"
2587,51.516154,-0.082422,"Wormwood Street, Liverpool Street"
3486,51.489716,-0.170194,"St. Luke's Church, Chelsea"
1183,51.490163,-0.190393,"Bramham Gardens, Earl's Court"
1179,51.490664,-0.166485,"Chelsea Green, Chelsea"
1170,51.494816,-0.130458,"Horseferry Road, Westminster"
1101,51.502757,-0.155349,"Knightsbridge, Hyde Park"
3481,51.491484,-0.09022,"Rodney Road , Walworth"
1150,51.51031,-0.187402,"Queensway, Kensington Gardens"
1182,51.509353,-0.196422,"Notting Hill Gate Station, Notting Hill"
3488,51.508446,-0.131961,"Charles II Street, West End"
3470,51.528915,-0.11548,"Great Percy Street, Clerkenwell"
1067,51.507424,-0.134621,"St. James's Square, St. James's"
1151,51.506543,-0.123179,"Whitehall Place, Strand"
1144,51.506692,-0.103137,"Poured Lines, Bankside"
1089,51.493967,-0.178732,"Queen's Gate (Central), South Kensington"
1139,51.51501,-0.112753,"Carey Street, Holborn"
1153,51.50777,-0.130699,"Pall Mall East, West End"
1081,51.534504,-0.106992,"Liverpool Road (N1 Centre), Angel"
1154,51.495718,-0.110889,"Kennington Road, Vauxhall"
3483,51.51838,-0.073438,"Fashion Street, Whitechapel"
3467,51.509786,-0.068161,"Dock Street, Wapping"
1099,51.523353,-0.175116,"Frampton Street, Paddington"
1090,51.524438,-0.138019,"Warren Street Station, Euston"
3472,51.505459,-0.105692,"Colombo Street, Southwark"
3482,51.522008,-0.151359,"Beaumont Street, Marylebone"
1103,51.490962,-0.139625,"Gloucester Street, Pimlico"
1145,51.51615,-0.128417,"Bucknall Street, Covent Garden"
1140,51.485357,-0.142207,"Grosvenor Road, Pimlico"
1159,51.522853,-0.099994,"Berry Street, Clerkenwell"
1091,51.530529,-0.167515,"St. John's Wood Church, The Regent's Park"
1137,51.498597,-0.096191,"Harper Road, The Borough"
3440,51.489932,-0.162727,"Royal Avenue 1, Chelsea"
1161,51.518908,-0.079249,"Brushfield Street, Liverpool Street"
1051,51.534042,-0.086379,"Shoreditch Park, Hoxton"
3471,51.530515,-0.106408,"Chadwell Street, Angel"
1147,51.525575,-0.179592,"Clifton Road, Maida Vale"
3484,51.51362,-0.116764,"Houghton Street, Strand"
1194,51.522481,-0.154907,"Westminster University, Marylebone"
1193,51.501432,-0.178656,"Kensington Gore, Knightsbridge"
1180,51.490959,-0.153233,"Bourne Street, Belgravia"
3489,51.513684,-0.13558,"Broadwick Street, Soho"
3491,51.513489,-0.191351,"Princes Square, Bayswater"
1095,51.498744,-0.103132,"LSBU (Borough Road), Elephant & Castle"
1184,51.514225,-0.08066,"St. Mary Axe, Aldgate"
1146,51.526443,-0.109256,"Tysoe Street, Clerkenwell"
3490,51.515953,-0.169249,"Southwick Street, Paddington"
1204,51.501026,-0.180246,"Queen's Gate (North), Kensington"
1155,51.49206,-0.132224,"Regency Street, Westminster"
1087,51.493204,-0.144132,"Belgrave Road, Victoria"
1209,51.500823,-0.08974,"Empire Square, The Borough"
1136,51.535836,-0.156285,"London Zoo,  The Regent's Park"
1133,51.501444,-0.110699,"Baylis Road, Waterloo"
1186,51.506133,-0.114686,"Belvedere Road 1, South Bank"
1134,51.496712,-0.205284,"Warwick Road, Olympia"
1191,51.520044,-0.092176,"Barbican Centre, Barbican"
1098,51.509301,-0.084985,"Lower Thames Street, Monument"
1143,51.503157,-0.191496,"Kensington Church Street, Kensington"
1142,51.503493,-0.07962,"Tooley Street, Bermondsey"
1108,51.518623,-0.176603,"North Wharf Road, Paddington"
3462,51.490083,-0.162418,"Royal Avenue 2, Chelsea"
3480,51.495805,-0.127575,"Smith Square, Westminster"
1077,51.518675,-0.06111,"Royal London Hospital, Whitechapel"
1141,51.514409,-0.118478,"Kingsway, Covent Garden"
1117,51.49914,-0.112031,"Lambeth North Station, Waterloo"
1187,51.527294,-0.174653,"St. John's Wood Road, St. John's Wood"
